Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S4697,UCD-0018183,Saxagliptin hydrate,L2000-04,F07,L2000-06,F05,333.43,945667-22-1,DPP-4,Saxagliptin H2O is a selective and reversible DPP4 inhibitor with IC50 of 26 nM.,Proteases
S7000,UCD-0159419,ALK-IN-1,L2000-04,F08,L2000-06,F06,529.01,1197958-12-5,ALK,"AP26113 is a potent ALK inhibitor with IC50 of 0.62 nM, demonstrated ability overcome Crizotinib resistance mediated by a L1196M mutation. Phase 1/2.",Protein Tyrosine Kinase
S7030,UCD-0159427,RG-7112,L2000-04,F09,L2000-06,F07,726.28,939981-39-2,Mdm2,"RG7112 (RO5045337) is an orally bioavailable and selective <b>p53-MDM2</b> inhibitor. Phase 1.
",Apoptosis
S7076,UCD-0001966,T0901317,L2000-04,F10,L2000-06,F08,481.33,293754-55-9,Liver X Receptor,"T0901317 is a potent and selective agonist for both LXR and FXR, with EC50 of ~50 nM and 5 μM, respectively.",Others
S7106,UCD-0159440,AZD3463,L2000-04,F11,L2000-06,F09,448.95,1356962-20-3,ALK,"AZD3463 is a novel orally bioavailable ALK inhibitor with Ki of 0.75 nM, which also inhibits IGF1R with equivalent potency. ",Protein Tyrosine Kinase
S2915,UCD-0159396,GW9662,L2000-04,G02,L2000-06,F10,276.68,22978-25-2,PPAR,"GW9662 is a selective PPAR antagonist for PPARγ with IC50 of 3.3 nM, with at least 100 to 1000-fold functional selectivity in cells with PPARγversus PPARα and PPARδ.",DNA Damage
S3026,UCD-0159401,Piceatannol,L2000-04,G03,L2000-06,F11,244.24,10083-24-6,Syk,"Piceatannol, a natural stilbene, is a selective Syk inhibitor and ~10-fold selectivity versus Lyn.",Angiogenesis
S3212,UCD-0159405,Moclobemide (Ro 111163),L2000-04,G04,L2000-06,G02,268.74,71320-77-9,MAO,Moclobemide is MAO-A (5-HT) inhibitor with IC50 of 6.1 μM.,Metabolism
S4246,UCD-0159664,Tranylcypromine (2-PCPA) HCl,L2000-04,G05,L2000-06,G03,169.65,4548-34-9,MAO,"Tranylcypromine is a monoamine oxidase inhibitor, which inhibits CYP2A6 with Ki of 0.08 μM and 0.2 μM in cDNA-expressing microsomes and Human Liver Microsomes, respectively.",Epigenetics
S4635,UCD-0001098,Cyproheptadine hydrochloride,L2000-04,G06,L2000-06,G04,350.88,41354-29-4,5-HT Receptor,Cyproheptadine hydrochloride is non-selective 5HT2 antagonist with IC50 of 0.6 nM. Also a SETD7/9 inhibitor.,Neuronal Signaling
S4900,UCD-0159412,Tenovin-6,L2000-04,G07,L2000-06,G05,454.63,1011557-82-6,"p53,Sirtuin",Tenovin-6 is a small molecule activator of p53 transcriptional activity.,Apoptosis
S7008,UCD-0159420,PP2,L2000-04,G08,L2000-06,G06,301.77,172889-27-9,Src,"PP2 is Src family kinase inhibitor, potently inhibits Lck/Fyn with IC50 of 4 nM/5 nM, ~100-fold less potent to EGFR, inactive for ZAP-70, JAK2 and PKA.",Angiogenesis
S7033,UCD-0159428,GSK2656157,L2000-04,G09,L2000-06,G07,416.45,1337532-29-2,PERK,"GSK2656157 is an ATP-competitive and highly selective inhibitor of PERK with IC50 of 0.9 nM, 500-fold greater against a panel of 300 kinases.",Apoptosis
S7079,UCD-0001925,SGC 0946,L2000-04,G10,L2000-06,G08,618.57,1561178-17-3,Histone Methyltransferase,"SGC 0946 is a highly potent and selective DOT1L methyltransferase inhibitor with IC50 of 0.3 nM, is inactive against a panel of 12 PMTs and DNMT1.",Epigenetics
S7111,UCD-0159441,NLG919,L2000-04,G11,L2000-06,G09,282.38,1402836-58-1,IDO,"NLG919 is a potent IDO (indoleamine-(2,3)-dioxygenase) pathway inhibitor with Ki/EC50 of 7 nM/75 nM.",Metabolism
S2916,UCD-0159397,ML161,L2000-04,H02,L2000-06,G10,361.23,423735-93-7,Others,ML-161 is an allosteric inhibitor of PAR1 with IC50 of 0.26 μM.,Others
S3031,UCD-0000918,Linagliptin,L2000-04,H03,L2000-06,G11,472.54,668270-12-0,DPP-4,"Linagliptin is a highly potent, selective DPP-4 inhibitor with IC50 of 1 nM.",Proteases
DMSO,,DMSO,L2000-04,B12,L2000-07,B02,,,,,
S4009,UCD-0159406,Mirabegron,L2000-04,H04,L2000-07,B03,396.51,223673-61-8,Adrenergic Receptor,Mirabegron is a selective β3-adrenoceptor agonist with EC50 of 22.4 nM.,Neuronal Signaling
S4259,UCD-0000841,Vilazodone HCl,L2000-04,H05,L2000-07,B04,477.99,163521-08-2,5-HT Receptor,"Vilazodone HCl is a selective serotonin reuptake inhibitor (SSRI) and  a partial agonist of 5-HT1A receptors, used for the treatment of major depressive disorder.",Neuronal Signaling
DMSO,,DMSO,L2000-04,C12,L2000-07,B05,,,,,
S4640,UCD-0159409,Lesinurad,L2000-04,H06,L2000-07,B06,404.28,878672-00-5,Others,Lesinurad is a selective uric acid reabsorption inhibitor (SURI) under investigation for treatment of gout in combination with xanthine oxidase inhibitors.,Others
S4907,UCD-0159413,SC-514,L2000-04,H07,L2000-07,B07,224.30,354812-17-2,IκB/IKK,"SC-514 is an orally active, ATP-competitive IKK-2 inhibitor with IC50 of 3-12 μM, blocks NF-κB-dependent gene expression, does not inhibit other IKK isoforms or other serine-threonine and tyrosine kinases.",NF-κB
DMSO,,DMSO,L2000-04,D12,L2000-07,B08,,,,,
S7010,UCD-0159421,GDC-0152,L2000-04,H08,L2000-07,B09,498.64,873652-48-3,IAP,"GDC-0152 is a potent antagonist of XIAP-BIR3, ML-IAP-BIR3, cIAP1-BIR3 and cIAP2-BIR3 with Ki of 28 nM, 14 nM, 17 nM and 43 nM, respectively; less affinity shown to cIAP1-BIR2 and cIAP2-BIR2. Phase 1.",Apoptosis
S7037,UCD-0159429,Wnt-C59 (C59),L2000-04,H09,L2000-07,B10,379.45,1243243-89-1,Wnt/beta-catenin,Wnt-C59 (C59) is a PORCN inhibitor for Wnt3A-mediated activation of a multimerized TCF-binding site driving luciferase with IC50 of 74 pM.,Stem Cells &  Wnt
DMSO,,DMSO,L2000-04,E12,L2000-07,B11,,,,,
S7080,UCD-0159434,RN486,L2000-04,H10,L2000-07,C02,606.69,1242156-23-5,BTK,"RN486 is a potent and selective <b>BTK</b> inhibitor with <b>IC50</b> of 4 nM.

",Angiogenesis
S7113,UCD-0159442,Zebularine,L2000-04,H11,L2000-07,C03,228.20,3690-10-6,DNA Methyltransferase,"Zebularine is a DNA methylation inhibitor that forms a covalent complex with DNA methyltransferases, also inhibits cytidinedeaminase with Ki of 2 μM.",Epigenetics
S7115,UCD-0159443,AMG-517,L2000-05,A02,L2000-07,C04,430.40,659730-32-2,TRPV,"AMG 517 is a potent and selective TRPV1 antagonist, antagonizes capsaicin, proton, and heat activation of TRPV1 with IC50 of 0.76 nM, 0.62 nM and 1.3 nM.",Others
S7140,UCD-0159451,TCID,L2000-05,A03,L2000-07,C05,283.92,30675-13-9,DUB,"TCID is a DUB inhibitor for ubiquitin C-terminal hydrolase L3 with IC50 of 0.6 μM, 125-fold selective to L1.",Ubiquitin
S7161,UCD-0159458,Motolimod (VTX-2337),L2000-05,A04,L2000-07,C06,458.6,926927-61-9,TLR,"Motolimod (VTX-2337) is a selective and potent Toll-like receptor (TLR) 8 agonist with EC50 of 100 nM, > 50-fold selectivity over TLR7. Phase 2.",Others
S7195,UCD-0159466,RKI-1447,L2000-05,A05,L2000-07,C07,326.37,1342278-01-6,ROCK,"RKI-1447 is a potent inhibitor of ROCK1 and ROCK2, with IC50 of 14.5 nM and 6.2 nM, respectively, has anti-invasive and antitumor activities.",Cell Cycle
S7238,UCD-0159474,NVP-TNKS656,L2000-05,A06,L2000-07,C08,494.58,1419949-20-4,PARP,"NVP-TNKS656 is a highly potent, selective, and orally active tankyrase inhibitor with IC50 of 6 nM for TNKS2, > 300-fold selectivity against PARP1 and PARP2.",DNA Damage
S7257,UCD-0159482,CNX-774,L2000-05,A07,L2000-07,C09,499.50,1202759-32-7,BTK,"CNX-774 is an irreversible, orally active, and highly selective BTK inhibitor with IC50 of <1 nM.",Angiogenesis
S7285,UCD-0159490,NMS-873,L2000-05,A08,L2000-07,C10,520.67,1418013-75-8,p97,NMS-873 is an allosteric and specific p97 inhibitor with IC50 of 30 nM.,Ubiquitin
S7318,UCD-0159498,HTH-01-015,L2000-05,A09,L2000-07,C11,468.55,1613724-42-7,AMPK,"HTH-01-015 is a potent and selective <b>NUAK1</b> inhibitor with <b>IC50</b> of 100 nM, >100-fold selectivity over NUAK2. 
",PI3K/Akt/mTOR
S7351,UCD-0159506,JSH-23,L2000-05,A10,L2000-07,D02,240.34,749886-87-1,NF-κB,JSH-23 is an inhibitor of NF-κB transcriptional activity with IC50 of 7.1 μM.,NF-κB
S7372,UCD-0159514,PTC-209,L2000-05,A11,L2000-07,D03,495.19,315704-66-6,Others,"PTC-209 is a potent and selective BMI-1 inhibitor with IC50 of 0.5 μM, and results in irreversible reduction of cancer-initiating cells (CICs).",Others
S7121,UCD-0159444,MLN2480,L2000-05,B02,L2000-07,D04,506.29,1096708-71-2,Raf,"MLN2480 is an oral, selective pan-Raf kinase inhibitor in chinical trials.",MAPK
S7142,UCD-0159452,NSC697923,L2000-05,B03,L2000-07,D05,267.26,343351-67-7,E2 conjugating,NSC697923 is a cell-permeable and selective inhibitor of the Ub-conjugating enzyme (E2) complex Ubc13-Uev1A.,Ubiquitin
S7162,UCD-0159459,Mdivi-1,L2000-05,B04,L2000-07,D06,353.22,338967-87-6,Dynamin,Mdivi-1 is a selective cell-permeable inhibitor of mitochondrial division DRP1 (dynamin-related GTPase) and mitochondrial division Dynamin I (Dnm1) with IC50 of 1-10 μM. ,Cytoskeletal Signaling
S7199,UCD-0159467,DBeQ,L2000-05,B05,L2000-07,D07,340.42,177355-84-9,p97,"DBeQ is a selective, potent, reversible, and ATP-competitive p97 inhibitor with IC50 of 1.5 μM.",Ubiquitin
S7241,UCD-0159475,AGI-6780,L2000-05,B06,L2000-07,D08,481.51,1432660-47-3,Dehydrogenase,AGI-6780 is a potent and selective inhibitor of IDH2 R140Q mutant with IC50 of 23 nM.,Metabolism
S7263,UCD-0159483,AZD1981,L2000-05,B07,L2000-07,D09,388.87,802904-66-1,GPR,"AZD1981 is a potent, selective CRTh2 (DP2) receptor antagonist with IC50 of 4 nM, showing >1000-fold selectivity over more than 340 other enzymes and receptors, including DP1.",Endocrinology & Hormones
S7289,UCD-0159491,PFK15,L2000-05,B08,L2000-07,D10,260.29,4382-63-2,Others,PFK15 is a potent and selective 6-phosphofructo-2-kinase (PFKFB3) with IC50 of 207 nM.,Others
S7319,UCD-0159499,EHop-016 ,L2000-05,B09,L2000-07,D11,430.55,1380432-32-5,Rho,"EHop-016 is a specific Rac GTPase inhibitor with IC50 of 1.1 μM for Rac1, equally potent inhibition for Rac3.",Cell Cycle
DMSO,,DMSO,L2000-05,A01,L2000-07,E02,,,,,
S7355,UCD-0159507,ARQ 621,L2000-05,B10,L2000-07,E03,552.43,1095253-39-6,Kinesin,"ARQ 621 is an allosteric, and selective Eg5 mitotic motor protein inhibitor. Phase 1.
",Cytoskeletal Signaling
S7373,UCD-0159515,UNC669,L2000-05,B11,L2000-07,E04,338.24,1314241-44-5,Epigenetic Reader Domain,"UNC669 is a potent and selective MBT (malignant brain tumor) inhibitor with IC50 of 6 μM for L3MBTL1, 5- and 11-fold selective over L3MBTL3 and L3MBTL4.",Epigenetics
DMSO,,DMSO,L2000-05,B01,L2000-07,E05,,,,,
S7124,UCD-0159445,SC144,L2000-05,C02,L2000-07,E06,322.30,895158-95-9,P-gp,SC144 is an orally active small-molecule gp130 inhibitor.,Others
S7146,UCD-0159453,DMH1,L2000-05,C03,L2000-07,E07,380.44,1206711-16-1,TGF-beta/Smad,"DMH1 is a selective BMP receptor inhibitor with IC50 of 107.9 nM for ALK2, exhibiting no inhibition on AMPK, ALK5, KDR (VEGFR-2) or PDGFR.",TGF-beta/Smad
DMSO,,DMSO,L2000-05,C01,L2000-07,E08,,,,,
S7167,UCD-0159460,SSR128129E,L2000-05,C04,L2000-07,E09,346.31,848318-25-2,FGFR,"SSR128129E is an orally-active and allosteric FGFR1 inhibitor with IC50 of 1.9 μM, while not affecting other related RTKs.",Angiogenesis
S7205,UCD-0159468,Idasanutlin (RG-7388),L2000-05,C05,L2000-07,E10,616.48,1229705-06-9,Mdm2,"Idasanutlin (RG-7388) is a potent and selective <b>p53-MDM2</b> inhibitor with <b>IC50</b> of 6 nM.
",Apoptosis
DMSO,,DMSO,L2000-05,D01,L2000-07,E11,,,,,
S7242,UCD-0159476,Erastin,L2000-05,C06,L2000-07,F02,547.04,571203-78-6,Ferroptosis,"Erastin is a ferroptosis activator by acting on mitochondrial VDAC, exhibiting selectivity for tumor cells bearing oncogenic RAS.",Metabolism
S7265,UCD-0159484,MM-102,L2000-05,C07,L2000-07,F03,669.80,1417329-24-8,Histone Methyltransferase,MM-102 is a high-affinity peptidomimetic MLL1 inhibitor with IC50 of 0.4 μM.,Epigenetics
S7293,UCD-0159492,ZCL278,L2000-05,C08,L2000-07,F04,584.89,587841-73-4,Rho,ZCL278 is a selective Cdc42 GTPase inhibitor with Kd of 11.4 μM.,Cell Cycle
S7324,UCD-0159500,TMP269,L2000-05,C09,L2000-07,F05,514.52,1314890-29-3,HDAC,"TMP269 is a potent, selective class IIa HDAC inhibitor with IC50 of 157 nM, 97 nM, 43 nM and 23 nM for HDAC4, HDAC5, HDAC7 and HDAC9, respectively.",Epigenetics
S7360,UCD-0159508,OTX015,L2000-05,C10,L2000-07,F06,491.99,202590-98-5,Epigenetic Reader Domain,"OTX015 is a potent BET bromodomain inhibitor with EC50 ranging from 10 to 19 nM for BRD2, BRD3, and BRD4. Phase 1.",Epigenetics
S7379,UCD-0159516,E-64,L2000-05,C11,L2000-07,F07,357.41,66701-25-5,Cysteine Protease,E-64 is an irreversible and selective cysteine protease inhibitor with IC50 of 9 nM for papain.,Proteases
S7125,UCD-0159446,KPT-185,L2000-05,D02,L2000-07,F08,355.31,1333151-73-7,CRM1,KPT-185 is a selective CRM1 inhibitor.,Transmembrane Transporters
S7147,UCD-0159454,LDN-212854	,L2000-05,D03,L2000-07,F09,406.48,1432597-26-6,TGF-beta/Smad,"LDN-212854 is a potent and selective BMP receptor inhibitor with IC50 of 1.3 nM for ALK2, about 2-, 66-, 1641-, and 7135-fold selectivity over ALK1, ALK3, ALK4, and ALK5, respectively.",TGF-beta/Smad
S7173,UCD-0159461,CC-292 (AVL-292),L2000-05,D04,L2000-07,F10,423.44,1202757-89-8,BTK,"AVL-292 is a covalent, orally active, and highly selective BTK inhibitor with IC50 of <0.5 nM, displaying at least 1400-fold selectivity over the other kinases assayed. Phase 1.",Angiogenesis
S7206,UCD-0159469,CNX-2006,L2000-05,D05,L2000-07,F11,545.53,1375465-09-0,EGFR,"CNX-2006 is a novel irreversible mutant-selective EGFR inhibitor with IC50 of < 20 nM, with very weak inhibition at wild-type EGFR.",Protein Tyrosine Kinase
S7243,UCD-0159477,Ferrostatin-1 (Fer-1),L2000-05,D06,L2000-07,G02,262.35,347174-05-4,Ferroptosis,Ferrostatin-1 (Fer-1) is a potent and selective inhibitor of ferroptosis with EC50 of 60 nM.,Metabolism
S7266,UCD-0159485,Golgicide A,L2000-05,D07,L2000-07,G03,284.30,1139889-93-2,ATPase,Golgicide A is a potent and rapidly reversible GBF1 inhibitor.,Transmembrane Transporters
S7296,UCD-0159493,ML324,L2000-05,D08,L2000-07,G04,349.43,1222800-79-4,Histone Demethylase,"ML324 is a selective inhibitor of <b>jumonji histone demethylase (JMJD2)</b> with <b>IC50</b> of 920 nM.
",Epigenetics
S7330,UCD-0159501,6H05,L2000-05,D09,L2000-07,G05,590.14,NA,Rho,"6H05 is a selective, and allosteric inhibitor of oncogenic K-Ras(G12C). 
",Cell Cycle
S7364,UCD-0159509,Atglistatin,L2000-05,D10,L2000-07,G06,283.37,1469924-27-3,Lipase,"Atglistatin is a highly potent, and selective inhibitor of adipose triglyceride lipase (ATGL) with IC50 of 0.7 μM, high selectivity over other key metabolic lipases.",Others
S7392,UCD-0159517,Loxistatin Acid (E-64C),L2000-05,D11,L2000-07,G07,314.38,76684-89-4,Cysteine Protease,"Loxistatin Acid (E-64C), a derivative of E-64, is an irreversible and membrane-permeant cysteine protease inhibitor.",Proteases
S7129,UCD-0159447,PYR-41,L2000-05,E02,L2000-07,G08,371.30,418805-02-4,E1 Activating,"PYR-41 is the first cell-permeable inhibitor of ubiquitin-activating enzyme E1, with no activity at E2.",Ubiquitin
S7148,UCD-0159455,ML347,L2000-05,E03,L2000-07,G09,352.39,1062368-49-3,TGF-beta/Smad,"ML347 is a selective BMP receptor inhibitor with IC50 of 32 nM for ALK2, >300-fold selectivity over ALK3. Also inhibits ALK1 activity with IC50 of 46 nM.",TGF-beta/Smad
S7174,UCD-0159462,ABC294640,L2000-05,E04,L2000-07,G10,380.91,915385-81-8,S1P Receptor,"ABC294640 is an orally bioavailable and selective <b>sphingosine kinase-2 (SphK2)</b> inhibitor with <b>IC50</b> of approximately 60 μM. Phase 1/2.
",GPCR & G Protein
S7215,UCD-0159470,Losmapimod (GW856553X),L2000-05,E05,L2000-07,G11,383.46,585543-15-3,p38 MAPK,"Losmapimod (GW856553X) is a selective, potent, and orally active p38 MAPK inhibitor with pKi of 8.1 and 7.6 for p38α and p38β, respectively. Phase 3.",MAPK
DMSO,,DMSO,L2000-05,E01,L2000-08,B02,,,,,
S7248,UCD-0159478,Ro3280,L2000-05,E06,L2000-08,B03,543.61,1062243-51-9,PLK,"RO3280 is a potent, highly selective inhibitor of  Polo-like kinase 1 (PLK1) with IC50 of 3 nM.",Cell Cycle
S7270,UCD-0159486,SRPIN340,L2000-05,E07,L2000-08,B04,349.35,218156-96-8,Others,"SRPIN340 is a selective SRPK inhibitor with Ki of 0.89 μM for SRPK1, showing no significant inhibitory activity against more than 140 other kinases..",Others
DMSO,,DMSO,L2000-05,F01,L2000-08,B05,,,,,
S7297,UCD-0159494,Osimertinib (AZD9291),L2000-05,E08,L2000-08,B06,499.61,1421373-65-0,EGFR,"AZD9291 is an oral, irreversible, and mutant-selective EGFR inhibitor with IC50 of 12.92, 11.44 and 493.8 nM for Exon 19 deletion EGFR, L858R/T790M EGFR, and WT EGFR, respectively. Phase 3.",Protein Tyrosine Kinase
S7334,UCD-0159502,ERK5-IN-1,L2000-05,E09,L2000-08,B07,638.81,1435488-37-1,ERK,"ERK5-IN-1 is a potent, and selective <b>ERK5</b> inhibitor with <b>IC50</b> of 162 nM.
",MAPK
DMSO,,DMSO,L2000-05,G01,L2000-08,B08,,,,,
S7367,UCD-0159510,GNE-0877,L2000-05,E10,L2000-08,B09,339.32,1374828-69-9,LRRK2,GNE-0877 is a highly potent and selective leucine-rich repeat kinase 2 (LRRK2) inhibitor with Ki of 0.7 nM.,Autophagy
S7393,UCD-0159518,Aloxistatin,L2000-05,E11,L2000-08,B10,342.43,88321-09-9,Cysteine Protease,Aloxistatin is an irreversible and membrane-permeable cysteine protease inhibitor.,Proteases
DMSO,,DMSO,L2000-05,H01,L2000-08,B11,,,,,
S7130,UCD-0159448,PR-619,L2000-05,F02,L2000-08,C02,223.28,2645-32-1,DUB,"PR-619 is a non-selective, reversible inhibitor of the deubiquitinylating enzymes (DUBs) with EC50 of 1-20 μM.",Ubiquitin
S7149,UCD-0159456,NSC 319726,L2000-05,F03,L2000-08,C03,234.32,71555-25-4,p53,"NSC319726 is a p53(R175) mutant reactivator, exhibits growth inhibition in cells expressing mutant p53, with IC50 of 8 nM for p53(R175) mutant, shows no inhibition for p53 wild-type cells.",Apoptosis
S7176,UCD-0159463,SKI II,L2000-05,F04,L2000-08,C04,302.78,312636-16-1,S1P Receptor,"SKI II is a highly selective and non ATP-competitive S1P receptor inhibitor with IC50 of 0.5 μM, while exhibits no inhibitory on other kinases including PI3K, PKCα and ERK2.",GPCR & G Protein
S7218,UCD-0159471,Alvelestat (AZD9668),L2000-05,F05,L2000-08,C05,545.53,848141-11-7,Serine Protease,"Alvelestat (AZD9668) is an oral, highly selective inhibitor of neutrophil elastase (NE) with IC50 and Ki of 12 nM and 9.4 nM, at least 600-fold more selective over other serine proteases.
 Phase 2.
",Proteases
S7251,UCD-0159479,KPT-276,L2000-05,F06,L2000-08,C06,426.26,1421919-75-6,CRM1,KPT-276 is an orally bioavailable selective CRM1 inhibitor.,Transmembrane Transporters
S7272,UCD-0159487,4μ8C,L2000-05,F07,L2000-08,C07,204.18,14003-96-4,Others,4μ8C is a potent and selective IRE1 Rnase inhibitor with IC50 of 76 nM.,Others
S7307,UCD-0159495,GSK2606414,L2000-05,F08,L2000-08,C08,451.44,1337531-36-8,PERK,"GSK2606414 is an orally available, potent, and selective PERK inhibitor with IC50 of 0.4 nM, displaying at least 100-fold selectivity over the other EIF2AKs assayed.",Apoptosis
S7336,UCD-0159503,CW069,L2000-05,F09,L2000-08,C09,500.33,1594094-64-0,Microtubule Associated,"CW069 is an allosteric, and selective inhibitor of microtubule motor protein HSET with IC50 of 75 μM, significant selectivity over KSP.",Cytoskeletal Signaling
S7368,UCD-0159511,GNE-9605,L2000-05,F10,L2000-08,C10,449.83,1536200-31-3,LRRK2,"GNE-9605 is a highly potent and selective leucine-rich repeat kinase 2 (LRRK2) inhibitor with Ki and IC50 of 2 nM and 19 nM, respectively.
",Autophagy
S7399,UCD-0159519,FLI-06,L2000-05,F11,L2000-08,C11,438.52,313967-18-9,Gamma-secretase,FLI-06 is a novel inhibitor of Notch signaling with EC50 of 2.3 μM.,Stem Cells &  Wnt
S7133,UCD-0159449,P22077,L2000-05,G02,L2000-08,D02,315.32,1247819-59-5,DUB,"P22077 is an inhibitor of ubiquitin-specific protease USP7 with EC50 of 8.6 μM, also inhibits the closely related USP47.",Ubiquitin
S7152,UCD-0001927,C646,L2000-05,G03,L2000-08,D03,445.42,328968-36-1,Histone Acetyltransferase,"C646 is an inhibitor for histone acetyltransferase, and inhibits p300 with a Ki of 400 nM.  Preferentially selective for p300 versus other acetyltransferases.",Epigenetics
S7185,UCD-0159464,AGI-5198,L2000-05,G04,L2000-08,D04,462.56,1355326-35-0,Dehydrogenase,AGI-5198 is the first highly potent and selective inhibitor of IDH1 R132H/R132C mutants with IC50 of 0.07 μM/0.16 μM.,Metabolism
S7223,UCD-0159472,RepSox,L2000-05,G05,L2000-08,D05,287.32,446859-33-2,TGF-beta/Smad,"RepSox is a potent and selective inhibitor of the TGFβR-1/ALK5 with IC50 of 23 nM and 4 nM for ATP binding to ALK5 and ALK5 autophosphorylation, respectively.",TGF-beta/Smad
S7252,UCD-0159480,Selinexor (KPT-330),L2000-05,G06,L2000-08,D06,443.31,1393477-72-9,CRM1,KPT-330 is an orally bioavailable selective CRM1 inhibitor.,Transmembrane Transporters
S7276,UCD-0159488,SGI-1027,L2000-05,G07,L2000-08,D07,461.52,1020149-73-8,DNA Methyltransferase,"SGI-1027 is a DNMT inhibitor with IC50 of 6, 8, 7.5 μM for DNMT1, DNMT3A, and DNMT3B",Epigenetics
S7316,UCD-0159496,STF-118804,L2000-05,G08,L2000-08,D08,461.53,894187-61-2,NAMPT,STF-118804 is a highly specific NAMPT inhibitor.,Others
S7338,UCD-0159504,AZ191,L2000-05,G09,L2000-08,D09,429.52,1594092-37-1,DYRK,"AZ191 is a potent and selective DYRK1B inhibitor with IC50 of 17 nM in a cell-free assay, about 5- and 110-fold selectivity over DYRK1A and DYRK2, respectively.",Others
S7369,UCD-0159512,4EGI-1,L2000-05,G10,L2000-08,D10,451.28,315706-13-9,Others,4EGI-1 is a competitive eIF4E/eIF4G interaction inhibitor by binding to eIF4E with KD of 25 μM.,Others
S7414,UCD-0159520,Caffeic Acid Phenethyl Ester,L2000-05,G11,L2000-08,D11,284.31,104594-70-9,NF-κB,"Caffeic acid phenethyl ester is a potent and specific inhibitor of NF-κB activation, and also displays antioxidant, immunomodulatory and antiinflammatory activities.",NF-κB
DMSO,,DMSO,L2000-05,A12,L2000-08,E02,,,,,
S7136,UCD-0159450,CGK 733,L2000-05,H02,L2000-08,E03,555.84,905973-89-9,ATM/ATR,CGK 733 is a potent and selective inhibitor of ATM/ATR with IC50 of ~200 nM.,DNA Damage
S7155,UCD-0159457,Batimastat (BB-94),L2000-05,H03,L2000-08,E04,477.64,130370-60-4,MMP,"Batimastat (BB-94) is a potent, broad spectrum matrix metalloprotease (MMP) inhibitor for MMP-1, MMP-2, MMP-9, MMP-7 and MMP-3 with IC50 of 3 nM, 4 nM, 4 nM, 6 nM and 20 nM, respectively.",Proteases
DMSO,,DMSO,L2000-05,B12,L2000-08,E05,,,,,
S7192,UCD-0159465,PF-04620110,L2000-05,H04,L2000-08,E06,396.44,1109276-89-2,Transferase,"PF-04620110 is an orally active, selective and potent diglyceride acyltransferase-1 (DGAT1) inhibitor with IC50 of 19 nM.",Metabolism
S7237,UCD-0159473,OG-L002,L2000-05,H05,L2000-08,E07,225.29,1357302-64-7,Histone Demethylase,"OG-L002 is a potent and specific LSD1 inhibitor with IC50 of 20 nM, exhibiting 36- and 69-fold selectivity over MAO-B and MAO-A, respectively.",Epigenetics
DMSO,,DMSO,L2000-05,C12,L2000-08,E08,,,,,
S7255,UCD-0159481,NMS-P937 (NMS1286937),L2000-05,H06,L2000-08,E09,532.52,1034616-18-6,PLK,"NMS-P937 (NMS1286937) is an orally available, selective Polo-like Kinase 1 (PLK1) inhibitor with IC50 of 2 nM, 5000-fold selectivity over PLK2/PLK3. Phase 1.",Cell Cycle
S7281,UCD-0159489,JIB-04,L2000-05,H07,L2000-08,E10,308.76,199596-05-9,Histone Demethylase,"JIB-04 is a pan-selective <b>Jumonji histone demethylase</b> inhibitor with <b>IC50</b> of 230, 340, 855, 445, 435, 1100, and 290 nM for JARID1A, JMJD2E, JMJD3, JMJD2A, JMJD2B, JMJD2C, and JMJD2D in cell-free assays, respectively.",Epigenetics
DMSO,,DMSO,L2000-05,D12,L2000-08,E11,,,,,
S7317,UCD-0159497,WZ4003,L2000-05,H08,L2000-08,F02,496.99,1214265-58-3,AMPK,"WZ4003 is a highly specific NUAK kinase inhibitor with IC50 of 20 nM and 100 nM for NUAK1 and NUAK2, respectively, without significant inhibition on 139 other kinases.",PI3K/Akt/mTOR
S7339,UCD-0159505,AZD3965,L2000-05,H09,L2000-08,F03,515.51,1448671-31-5,Others,"AZD3965 is a potent, selective and orally available monocarboxylate transporter 1 (MCT1) inhibitor with a binding affinity of 1.6 nM, 6-fold selective over MCT2. Phase 1.",Others
S7370,UCD-0159513,4E1RCat,L2000-05,H10,L2000-08,F04,478.45,328998-25-0,Others,"4E1RCat is a dual inhibitor of eIF4E:eIF4G and eIF4E:4E-BP1 interaction, and inhibits the binding of eIF4G to eIF4E with IC50 of 3.2 μM.",Others
S7421,UCD-0159521,CGP 57380,L2000-05,H11,L2000-08,F05,244.23,522629-08-9,MNK,"CGP 57380 is potent MNK1 inhibitor with IC50 of 2.2 μM, exhibiting no inhibitory activity on p38, JNK1, ERK1 and -2, PKC, or c-Src-like kinases.",Others
S7424,UCD-0159522,PD 151746,L2000-06,A02,L2000-08,F06,237.25,179461-52-0,Cysteine Protease,"PD 151746 is a selective, cell-permeable calpain inhibitor with Ki of 0.26 μM for μ-Calpain, about 20-fold selectivity over m-calpain.
",Proteases
S7461,UCD-0159529,LDC000067,L2000-06,A03,L2000-08,F07,370.43,1073485-20-7,CDK,"LDC000067 is a highly selective CDK9 inhibitor with IC50 of 44 nM, 55/125/210/ >227/ >227-fold selectivity over CDK2/1/4/6/7.
",Cell Cycle
